"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
5287,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 2: Concrete","Concrete - 6 | L:12 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=CltwUDOsblo"
5288,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 2: Concrete","Concrete-7 | L:13 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=3XQPScQ4FhA"
5289,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 2: Concrete","Concrete-8 | L:14 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=mS3teg56UXA"
5290,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 3: Timber","Timber-1  | L:15 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=S08mAj84f2c"
5291,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 3: Timber","Timber-2 | L:16 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=Fw6zGlo4F7c"
5292,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 3: Timber","Question session | L:17 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=_VNSgYrTQGI"
5293,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 3: Timber","Timber-3 | L:18 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=oFx1O8-ewZ0"
5294,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 3: Timber","Timber-4 | L:19 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=c2k2IKd3f0k"
5295,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 3: Timber","Timber-5 | L:20 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=aNxMD6MPO9M"
5296,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 3: Timber","Timber-6 | L:21 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=0wTx7bZJxdU"
5297,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 3: Timber","Question session | L:22 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=ucqITzoyYk0"
5298,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 4: Brick","Brick -1 | L:23 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=DIMxWQzrNdQ"
5299,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 4: Brick","Brick -2 | L:24 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=2FbIjaGUI84"
5300,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 4: Brick","Brick -3 | L:25 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=VlsW9FCWvxI"
5301,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 4: Brick","Brick-4 | L:26 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=xq_EUBeXYl0"
5302,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 4: Brick","Brick-5 | L:27 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=9n_mS1nwXTo"
5303,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 4: Brick Masonry","Brick Masonry-1 | L:28 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=mHL-rJAT7tg"
5304,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 4: Brick Masonry","Brick Masonry-2 | L:29 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=E4RLbeXcI40"
5305,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 4: Brick Masonry","Mortar | L:30 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=jshMp7OaLbg"
5306,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 5: Stone","Stone - 1 | L:31 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=8gqClM9dahY"
5307,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 5: Stone","Stone - 2 | L:32 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=m_1SbxuYznw"
5308,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 5: Stone","Stone-3 | L:33 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=RXoZMcsTc3s"
5309,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 5: Stone","Stone - 4 | L:34 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=6sIF7JZ077A"
5310,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 5: Stone","Question Session | L:35 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=Nl9KWe-3dMU"
5311,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 5: Lime","Lime | L:36 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=hLzcxzm8AqY"
5312,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 6: Aggregates","Aggregates-1 | L:37 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=6G4JQo2SK58"
5313,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 6: Aggregates","Aggregates- 2 | L:38 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=UQPPW5rsh4o"
5314,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 6: Aggregates","Aggregates-3 | L:39 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=bm-psyvLagQ"
5315,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 6: Aggregates","Fly Ash | L:40 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=0saDiSPWY_E"
5316,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 6: Aggregates","Question Session | L:41 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=G-HFIXGc29I"
5317,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 7: Miscellaneous Materials","Aluminium | L:42 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=Ia2nY08oA_Y"
5318,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 7: Miscellaneous Materials","FRP & Ceramics | L:43 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=m3JMH1fZXPI"
5319,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 7: Miscellaneous Materials","Glass | L:44 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=Gcmh-aIs2-c"
5320,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 7: Miscellaneous Materials","Plastics | L:45 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=AbCNc_FCPEA"
5321,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 7: Miscellaneous Materials","Steel | L:46 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=_LWKTDRe7fk"
5322,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 7: Miscellaneous Materials","Paints & Varnishes- 1 | L:47 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=1HQoQMWtrfc"
5323,"Civil Engineering","Building Materials & Construction | ESE 2021 Exam | Chetan Sir","","12th","English/Hindi","Module 7: Miscellaneous Materials","Paints & Varnishes- 2 | L:48 | Building Materials & Construction | ESE 2021 Exam | Chetan Sir","https://www.youtube.com/watch?v=izW_2g3p15E"
