"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
5245,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 3: Traverse Surveying & Levelling","Traverse Surveying  | Lec 12 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=s75woQo5cmE"
5246,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 3: Traverse Surveying & Levelling","latitude and departure  | Lec 13 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=E2o8UYsYFE0"
5247,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 3: Traverse Surveying & Levelling","Closing Error of Traverse | Lec 14 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=v3BzWWG37p0"
5248,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 3: Traverse Surveying & Levelling","Levelling- Basic Terminology  | Lec 15 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=cYhK6JG3r_Y"
5249,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 3: Traverse Surveying & Levelling","Height of Instrument & Rise and Fall Method | Lec 16 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=65r2tSP6LbQ"
5250,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 3: Traverse Surveying & Levelling","Sensitivity of Level tube | Lec 17 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=OhSd8rRPbXM"
5251,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 4: Contouring & Areas","Geodetic Levelling | Lec 18 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=Zx4kZuUQ7GQ"
5252,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 4: Contouring & Areas","Sensitivity of Level Tube | Lec 19 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=9QrB7_MeCf4"
5253,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 5: Trigonometrical & Tachometric Surveying","Recripocal Levelling | Lec 20 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=h7eBHW6VdFw"
5254,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 5: Trigonometrical & Tachometric Surveying","Contours  | Lec 21 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=SMg-F3YcASY"
5255,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 5: Trigonometrical & Tachometric Surveying","Area and Volume | Lec 22 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=Nqd7534MNeg"
5256,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 6: Curves & Plane Table Surveying","Trigonometrical Surveying | Lec 23 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=TLeRFjS12zk"
5257,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 6: Curves & Plane Table Surveying","Trigonometrical Surveying | Lec 23 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=TLeRFjS12zk"
5258,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 6: Curves & Plane Table Surveying","Tacheometry Surveying | Lec 24 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=7U8Lv3_ashI"
5259,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 7: Errors & Aerial Surveying","Distance Measurement with Tachometer | Lec 25 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=RjJJt2AT81E"
5260,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 7: Errors & Aerial Surveying","Curves  | Lec 26 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=V0R63-kDHEQ"
5261,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 7: Errors & Aerial Surveying","Plane Table Surveying | Lec 26 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=G0BnhxUB4jI"
5262,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 8: Photogrammetry","Methods of Plane Table Surveying  | Lec 27 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=tXHgS280xzw"
5263,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 8: Photogrammetry","Curves  | Lec 28 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=bDWvvTLo7l4"
5264,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 8: Photogrammetry","Errors and Accuracy | Lec 29 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=797YzQajZYE"
5265,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 8: Photogrammetry","Laws of Weight | Lec 30 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=dMW0C2z7lq0"
5266,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 8: Photogrammetry","Aerial Surveying | Lec 31 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=gg1WAunCWuk"
5267,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 8: Photogrammetry","Photogrammetry Surveying | Lec 32 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=lfNtlINuSU4"
5268,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 8: Photogrammetry","Scale of Photograph  | Lec 33 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=mCTpyBOGLfE"
5269,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 8: Photogrammetry","Scale of Photograph-Numericals | Lec 34 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=Pi4GibghK_Q"
5270,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 9: Remote Sensing & GIS","Computation of length of line  | Lec 35 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=D1ebDH7TGEo"
5271,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 9: Remote Sensing & GIS","Relief Displacement | Lec 36 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=2LBA5N9ULPs"
5272,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 9: Remote Sensing & GIS","Flight Planning | Lec 37 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=ptVPQIk6uAE"
5273,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 9: Remote Sensing & GIS","Number of Photographs Numericals  | Lec 37 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=73hAeCRK0qc"
5274,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 9: Remote Sensing & GIS","Remote sensing | Lec 39 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=wAFslIDzygo"
5275,"Civil Engineering","Surveying | GATE Civil Exam | Kshitij Sir","","12th","English/Hindi","Module 9: Remote Sensing & GIS","GIS and GPSa  | Lec 40 | Surveying | GATE Civil Exam | Kshitij Sir","https://www.youtube.com/watch?v=KTXDlBAFVYU"
