S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
23,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 6: BPSC/DSSSB Crash Course,BPSC/DSSSB Physical Education Crash Course #8 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=kp3BYy2txI8
24,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 6: BPSC/DSSSB Crash Course,BPSC/DSSSB Physical Education Crash Course #7 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=UVQ8pau1jhs
25,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 7: Odisha TGT & Regular Teacher,BPSC/DSSSB Physical Education Crash Course #6 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=5Dh_0vJLQbM
26,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 7: Odisha TGT & Regular Teacher,BPSC/DSSSB Physical Education Crash Course #5 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=SuDPXDjZfi4
27,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 7: Odisha TGT & Regular Teacher,BPSC/DSSSB Physical Education Crash Course #4 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=stQPV-cU4L8
28,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 7: Odisha TGT & Regular Teacher,BPSC/DSSSB Physical Education Crash Course #3 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=vnnnaRV5ofQ
29,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,BPSC/DSSSB Physical Education Crash Course #2 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=cBAgKWkhl9s
30,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,BPSC/DSSSB Physical Education Crash Course #1 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=ZUfZ3MYLIas
31,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,EMRS/DSSSB Physical Education Paper Solution #13 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=f76N5Qbd7Tw
32,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,EMRS/DSSSB Physical Education Paper Solution #11 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=wiR0mCtNO5o
33,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,EMRS/DSSSB Physical Education Paper Solution #10 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=3a1_u16co58
34,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,EMRS/DSSSB Physical Education Paper Solution #8 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=lGRga93vWh8
35,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,EMRS/DSSSB Physical Education Paper Solution #9 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=H9r6Skuidxw
36,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,DSSSB/EMRS Physical Education Paper Solution #6 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=aJC-TfzE4Ww
37,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,DSSSB/EMRS 2024 I Physical Education Paper Solution #5 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=Lp1bHpZ5iDE
38,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,DSSSB/EMRS TGT PGT Physical Education Paper Solution #4 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=vTwwZYQH7Xc
39,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,DSSSB/EMRS TGT PGT Physical Education Paper Solution #3 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=rZEq7nkY4EQ
40,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,EMRS TGT Physical Education Paper Solution 2023 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=ECsA0_1RGsY
41,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,EMRS TGT Physical Education Paper Solution #2 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=Mayb-IrW7ls
42,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education 10 Days Challenge #9 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=DxruDE7nv9E
43,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education 10 Days Challenge #8 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=t82le1oIe-g
44,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education 10 Days Challenge #7 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=1pdihJbZ7SU
45,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education 10 Days Challenge #6 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=ce2jRxRY0kg
46,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education 10 Days Challenge #5 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=_ypHoyjpAw4
47,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education 10 Days Challenge #4 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=UnsfqnwTSQc
48,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education 10 Days Challenge #3 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=bE0GiO3EOp8
49,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education 10 Days Challenge #2 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=VQaMi6zeR8o
