Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
7895,Data Science,SQL for Data Analytics & Data Science,151hrs 9min,12th,English/Hindi,Module 1: Introduction to SQL,SQL for Data Analytics & Data Science | Day 1 | 360DigiTMG,https://www.youtube.com/watch?v=kxkK_XNv8HQ
7896,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 1: Introduction to SQL,SQL for Data Analytics & Data Science | Day 2 | 360DigiTMG,https://www.youtube.com/watch?v=kNxaCFSGjQ8
7897,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 1: Introduction to SQL,SQL for Data Analytics & Data Science | Day 3 | 360DigiTMG,https://www.youtube.com/watch?v=Hbkc0Vrkjog
7898,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 1: Introduction to SQL,SQL for Data Analytics & Data Science | Day 4 | 360DigiTMG,https://www.youtube.com/watch?v=O0ZIb5ckql8
7899,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 2: Data Manipulation and Aggregation,SQL for Data Analytics & Data Science | Day 5 | 360DigiTMG,https://www.youtube.com/watch?v=tx90w5cwoDo
7900,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 2: Data Manipulation and Aggregation,SQL for Data Analytics & Data Science | Day 6 | 360DigiTMG,https://www.youtube.com/watch?v=XFoUsVPQYew
7901,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 2: Data Manipulation and Aggregation,SQL for Data Analytics & Data Science | Day 7 | 360DigiTMG,https://www.youtube.com/watch?v=npE5-AS1yPA
7902,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 3: Advanced SQL Techniques,SQL for Data Analytics & Data Science | Day-8 | 360DigiTMG,https://www.youtube.com/watch?v=W5eAN4RQUR4
7903,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 3: Advanced SQL Techniques,SQL for Data Analytics & Data Science | Day-9 | 360DigiTMG,https://www.youtube.com/watch?v=4GMjYp1yukQ
7904,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 3: Advanced SQL Techniques,SQL for Data Analytics & Data Science | Day-10 | 360DigiTMG,https://www.youtube.com/watch?v=-y5Nm-0n62g
