"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
13124,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 5: Unchanging Principles in Changing Times","The Seven Power Keys For Planning Change | Dr. Myles Munroe","https://www.youtube.com/watch?v=b3josPeXvOw"
13125,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 6: Thriving in Crisis: Kingdom Strategies","The 4 Kingdom Laws For Overcoming Crisis | Dr. Myles Munroe","https://www.youtube.com/watch?v=JkypuyT5VGI"
13126,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 6: Thriving in Crisis: Kingdom Strategies","The Key To Benefitting From Crisis | Dr. Myles Munroe","https://www.youtube.com/watch?v=XP_sI7b25o8"
13127,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 7:  Principles for Planning Change","The Danger of Uncontrolled Change | Dr. Myles Munroe","https://www.youtube.com/watch?v=EJiVU-Cc0vc"
13128,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 7:  Principles for Planning Change","The Kingdom Power and Principle of Management | Dr. Myles Munroe","https://www.youtube.com/watch?v=x0nZ2BBiCKw"
13129,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 7:  Principles for Planning Change","The Power of Planning and Change Part 3 | Dr. Myles Munroe","https://www.youtube.com/watch?v=EKm_YKyr-AE"
13130,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 8:  The Power of Planning and Change","The Seven Principles For Planning Change Part 2 | Dr. Myles Munroe","https://www.youtube.com/watch?v=bcaXHEBT2o4"
13131,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 8:  The Power of Planning and Change","Kingdom Keys To Insulating Yourself In Times of Crisis | Dr. Myles Munroe","https://www.youtube.com/watch?v=vFEeriOWdUI"
13132,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 8:  The Power of Planning and Change","How To Live Effectively In Time | Dr. Myles Munroe","https://www.youtube.com/watch?v=lqrSLgDiXbI"
13133,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 9: Overcoming Crisis: Kingdom Laws","Kingdom Keys To Thriving In Times of Crisis Part 2 | Dr. Myles Munroe","https://www.youtube.com/watch?v=q6OLPhSWMKc"
13134,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 10: Benefiting from Crisis","How To Live Beyond A Crisis | Dr. Myles Munroe","https://www.youtube.com/watch?v=5z66SQ4H3uI"
13135,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 11: The Dangers of Uncontrolled Change","Kingdom Keys To Thriving In Times of Crisis Part 4 | Dr. Myles Munroe","https://www.youtube.com/watch?v=sH25KuEdN_s"
13136,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 11: The Dangers of Uncontrolled Change","The Danger of Unregulated Change | Dr. Myles Munroe","https://www.youtube.com/watch?v=Qck2NZFDpdU"
13137,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 12: The Power of Management in Crisis","Kingdom Keys To Thriving In Times of Crisis Part 3 | Dr. Myles Munroe","https://www.youtube.com/watch?v=q0bl75fsRtk"
13138,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 13: Insulating Yourself During Crisis","Thriving In Times of Crisis and Change | Dr. Myles Munroe","https://www.youtube.com/watch?v=8QbH_88eD-w"
13139,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 14: Living Effectively in Time","How To Recognize It's Time For Change | Dr. Myles Munroe","https://www.youtube.com/watch?v=oSa4e-0hsDE"
13140,"Public Administration","Crisis Management Teachings By Dr. Myles Munroe","","12th","English/Hindi","Module 14: Living Effectively in Time","Crisis Comes To Destroy Traditions | Dr. Myles Munroe","https://www.youtube.com/watch?v=lcThaa7zJjs"
