"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
13193,"Education","Higher Education - Complete Course","50hrs 4min","12th","English/Hindi","Module 1: Historical Foundations of Indian Education","1. Vedik Education in Ancient India - Higher Education | UGC NET Paper 1 | By Bharat Kumar","https://www.youtube.com/watch?v=UHT89sGgjRI"
13194,"Education","Higher Education - Complete Course","","12th","English/Hindi","Module 1: Historical Foundations of Indian Education","2. Buddhist Education and Mahaviharas - Higher Education | UGC NET Paper 1 | By Bharat Kumar","https://www.youtube.com/watch?v=z84yjnWNYx4"
13195,"Education","Higher Education - Complete Course","","12th","English/Hindi","Module 1: Historical Foundations of Indian Education","3. British Education in Pre-Independence - Higher Education | UGC NET Paper 1 | By Bharat Kumar","https://www.youtube.com/watch?v=fnuLvRKDAKU"
13196,"Education","Higher Education - Complete Course","","12th","English/Hindi","Module 2: Modern Indian Education: Structures and Policies","4. Higher Education Framework in India - Higher Education | UGC NET Paper 1 | By Bharat Kumar","https://www.youtube.com/watch?v=HE3qJQH-THo"
13197,"Education","Higher Education - Complete Course","","12th","English/Hindi","Module 2: Modern Indian Education: Structures and Policies","5. Types of Universities - Higher Education | UGC NET Paper 1 | By Bharat Kumar","https://www.youtube.com/watch?v=-pjCT-eK6Fw"
13198,"Education","Higher Education - Complete Course","","12th","English/Hindi","Module 2: Modern Indian Education: Structures and Policies","6. Radhakrishnan & Mudaliar Commissions - Higher Education | UGC NET Paper 1 | By Bharat Kumar","https://www.youtube.com/watch?v=KYukepP9Qjs"
13199,"Education","Higher Education - Complete Course","","12th","English/Hindi","Module 3: Contemporary Higher Education in India","7. National Education Policy - 2020 - Higher Education | UGC NET Paper 1 | By Bharat Kumar","https://www.youtube.com/watch?v=_RxChUKBFbo"
