S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
39,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic039,https://www.youtube.com/watch?v=3gARw85vSSA
40,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic040,https://www.youtube.com/watch?v=paO_XbWNDMI
41,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic041,https://www.youtube.com/watch?v=TXv48vVysqQ
42,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic042,https://www.youtube.com/watch?v=LfWaKTS1A3A
43,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic043,https://www.youtube.com/watch?v=VxD1tJ_GdH0
44,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic044,https://www.youtube.com/watch?v=sf0I0g5Bfho
45,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic045,https://www.youtube.com/watch?v=lmhf8sfGx2Q
46,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic046,https://www.youtube.com/watch?v=QJZEg42SYO4
47,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic047,https://www.youtube.com/watch?v=5c53VnxIU3g
48,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic048,https://www.youtube.com/watch?v=5WObwvCWZAk
49,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic049,https://www.youtube.com/watch?v=jltib2gtC6g
50,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic050,https://www.youtube.com/watch?v=HCJKpJy1duo
51,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic051,https://www.youtube.com/watch?v=-F5NnAry6uk
52,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic052,https://www.youtube.com/watch?v=ei441X1QJOY
53,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic053,https://www.youtube.com/watch?v=KLxexl0tiRs
54,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic054 | Classroom Management,https://www.youtube.com/watch?v=99isbm2r7kQ
55,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic055,https://www.youtube.com/watch?v=D1O-jO_tRTo
56,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic056,https://www.youtube.com/watch?v=4zCbkPsdWYY
57,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic057,https://www.youtube.com/watch?v=PNc4cRjwXrE
58,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic058,https://www.youtube.com/watch?v=2srObjE39Vs
59,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic059,https://www.youtube.com/watch?v=LSSp4xLkyFo
60,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic060,https://www.youtube.com/watch?v=sy7TcxFkfjc
61,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic061,https://www.youtube.com/watch?v=K_MHbnDmZxg
62,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic062,https://www.youtube.com/watch?v=j4_EU6pBTns
63,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic063,https://www.youtube.com/watch?v=iSvmwpBOOFI
64,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic064,https://www.youtube.com/watch?v=dPkFMsMzEJQ
65,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic065,https://www.youtube.com/watch?v=50DPlgtptBE
66,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic066,https://www.youtube.com/watch?v=q-d4kIASLKk
67,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic067,https://www.youtube.com/watch?v=3hAdjbO-qeg
68,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic068,https://www.youtube.com/watch?v=aoaQIpYGjsA
69,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic069,https://www.youtube.com/watch?v=PPgzdsGwO88
70,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic070,https://www.youtube.com/watch?v=SjoMlcp7emU
71,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic071,https://www.youtube.com/watch?v=05wszIJnc3s
72,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic072,https://www.youtube.com/watch?v=seqMmHEroNA
73,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic073,https://www.youtube.com/watch?v=7Mh1rfp4duM
74,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic074,https://www.youtube.com/watch?v=bValvjYCj7w
75,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic075,https://www.youtube.com/watch?v=gmWYyM3VvJA
76,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic076,https://www.youtube.com/watch?v=Gj4PeidwmKg
77,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic077,https://www.youtube.com/watch?v=Fz7WQgZo2zo
78,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic078,https://www.youtube.com/watch?v=8oIjI_K2_oY
79,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,Furniture Arrangements | Classroom Management | EDU305_Topic079,https://www.youtube.com/watch?v=6JXTvodpWLM
80,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic080,https://www.youtube.com/watch?v=0bQiCxZxnU8
81,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic081,https://www.youtube.com/watch?v=qm6rj_kabE0
82,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic082,https://www.youtube.com/watch?v=gHICyLMvMVw
83,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic083,https://www.youtube.com/watch?v=wqwEZ6riiTQ
84,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic084,https://www.youtube.com/watch?v=3x3dctJCLoY
85,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic085,https://www.youtube.com/watch?v=GWaJOQxtVgE
86,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic086,https://www.youtube.com/watch?v=Lpad_0J8zng
87,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic087,https://www.youtube.com/watch?v=BrCRrqt47z4
88,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic088,https://www.youtube.com/watch?v=8A4SJrH2-9g
89,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic089,https://www.youtube.com/watch?v=PrhoYS34eik
90,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic090,https://www.youtube.com/watch?v=nZS9w4SIP44
91,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic091,https://www.youtube.com/watch?v=RIVPR1OlMp8
92,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic092,https://www.youtube.com/watch?v=heVAlE1ENzY
93,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic093,https://www.youtube.com/watch?v=ihaLAUNPoYM
94,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic094,https://www.youtube.com/watch?v=wGMROSJZsng
95,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic095,https://www.youtube.com/watch?v=qjN7s3pKVQU
96,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic096,https://www.youtube.com/watch?v=gwa0RI7t6xA
97,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic097,https://www.youtube.com/watch?v=D7SnChGHTWE
98,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic098,https://www.youtube.com/watch?v=BT-uNSLJiR8
99,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic099,https://www.youtube.com/watch?v=llXERSONYLw
100,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic100,https://www.youtube.com/watch?v=xsnqjuytRlE
101,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic101,https://www.youtube.com/watch?v=pBuaqiFHUGg
102,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic102,https://www.youtube.com/watch?v=hIOAvjQ_uxo
103,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic103,https://www.youtube.com/watch?v=JAqml8hvZLo
104,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic104,https://www.youtube.com/watch?v=cJAP5jIQ5xo
105,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 10: Professional Development and Reflection,EDU305_Topic105,https://www.youtube.com/watch?v=K3ySmf-vP4s
